State,Season,_YearMonth,AgeCategory_Legend,Sex_Label,Race_Label,MonthlyRate,Type
Utah,2021-22,202205.0,All,All,All,17.2,Crude Rate
Utah,2021-22,202203.0,All,All,All,12.1,Crude Rate
Utah,2021-22,202202.0,All,All,All,40.4,Crude Rate
Utah,2021-22,202204.0,All,All,All,7.1,Crude Rate
Utah,2021-22,202201.0,All,All,All,104.2,Crude Rate
Utah,2021-22,202111.0,All,All,All,37.8,Crude Rate
Utah,2021-22,202207.0,All,All,All,34.5,Crude Rate
Utah,2021-22,202209.0,All,All,All,16.7,Crude Rate
Utah,2021-22,202110.0,All,All,All,39.8,Crude Rate
Utah,2021-22,202112.0,All,All,All,38.9,Crude Rate
Utah,2021-22,202206.0,All,All,All,36.0,Crude Rate
Utah,2021-22,202208.0,All,All,All,24.4,Crude Rate
Utah,2021-22,202204.0,All,All,Hispanic,4.8,Crude Rate
Utah,2021-22,202205.0,All,All,Hispanic,10.1,Crude Rate
Utah,2021-22,202207.0,All,All,Hispanic,32.0,Crude Rate
Utah,2021-22,202209.0,All,All,Hispanic,9.0,Crude Rate
Utah,2021-22,202111.0,All,All,Hispanic,37.6,Crude Rate
Utah,2021-22,202203.0,All,All,Hispanic,13.6,Crude Rate
Utah,2021-22,202112.0,All,All,Hispanic,35.4,Crude Rate
Utah,2021-22,202202.0,All,All,Hispanic,34.1,Crude Rate
Utah,2021-22,202206.0,All,All,Hispanic,20.3,Crude Rate
Utah,2021-22,202110.0,All,All,Hispanic,38.5,Crude Rate
Utah,2021-22,202201.0,All,All,Hispanic,98.0,Crude Rate
Utah,2021-22,202208.0,All,All,Hispanic,18.9,Crude Rate
Utah,2021-22,202207.0,All,All,"A/PI, non-Hispanic",33.5,Crude Rate
Utah,2021-22,202209.0,All,All,"A/PI, non-Hispanic",17.5,Crude Rate
Utah,2021-22,202208.0,All,All,"A/PI, non-Hispanic",21.9,Crude Rate
Utah,2021-22,202111.0,All,All,"A/PI, non-Hispanic",41.3,Crude Rate
Utah,2021-22,202112.0,All,All,"A/PI, non-Hispanic",41.3,Crude Rate
Utah,2021-22,202201.0,All,All,"A/PI, non-Hispanic",177.5,Crude Rate
Utah,2021-22,202205.0,All,All,"A/PI, non-Hispanic",9.6,Crude Rate
Utah,2021-22,202206.0,All,All,"A/PI, non-Hispanic",24.8,Crude Rate
Utah,2021-22,202110.0,All,All,"A/PI, non-Hispanic",41.3,Crude Rate
Utah,2021-22,202203.0,All,All,"A/PI, non-Hispanic",13.8,Crude Rate
Utah,2021-22,202204.0,All,All,"A/PI, non-Hispanic",8.3,Crude Rate
Utah,2021-22,202202.0,All,All,"A/PI, non-Hispanic",37.1,Crude Rate
Utah,2021-22,202202.0,All,All,"AI/AN, non-Hispanic",61.8,Crude Rate
Utah,2021-22,202208.0,All,All,"AI/AN, non-Hispanic",12.8,Crude Rate
Utah,2021-22,202207.0,All,All,"AI/AN, non-Hispanic",12.8,Crude Rate
Utah,2021-22,202204.0,All,All,"AI/AN, non-Hispanic",24.7,Crude Rate
Utah,2021-22,202112.0,All,All,"AI/AN, non-Hispanic",86.5,Crude Rate
Utah,2021-22,202206.0,All,All,"AI/AN, non-Hispanic",12.8,Crude Rate
Utah,2021-22,202205.0,All,All,"AI/AN, non-Hispanic",0.0,Crude Rate
Utah,2021-22,202209.0,All,All,"AI/AN, non-Hispanic",0.0,Crude Rate
Utah,2021-22,202110.0,All,All,"AI/AN, non-Hispanic",123.6,Crude Rate
Utah,2021-22,202111.0,All,All,"AI/AN, non-Hispanic",61.8,Crude Rate
Utah,2021-22,202203.0,All,All,"AI/AN, non-Hispanic",37.1,Crude Rate
Utah,2021-22,202201.0,All,All,"AI/AN, non-Hispanic",148.4,Crude Rate
Utah,2021-22,202206.0,All,All,"Black, non-Hispanic",95.7,Crude Rate
Utah,2021-22,202201.0,All,All,"Black, non-Hispanic",155.8,Crude Rate
Utah,2021-22,202209.0,All,All,"Black, non-Hispanic",74.4,Crude Rate
Utah,2021-22,202207.0,All,All,"Black, non-Hispanic",53.1,Crude Rate
Utah,2021-22,202110.0,All,All,"Black, non-Hispanic",36.7,Crude Rate
Utah,2021-22,202203.0,All,All,"Black, non-Hispanic",13.7,Crude Rate
Utah,2021-22,202205.0,All,All,"Black, non-Hispanic",18.3,Crude Rate
Utah,2021-22,202112.0,All,All,"Black, non-Hispanic",73.3,Crude Rate
Utah,2021-22,202204.0,All,All,"Black, non-Hispanic",4.6,Crude Rate
Utah,2021-22,202111.0,All,All,"Black, non-Hispanic",41.2,Crude Rate
Utah,2021-22,202208.0,All,All,"Black, non-Hispanic",31.9,Crude Rate
Utah,2021-22,202202.0,All,All,"Black, non-Hispanic",50.4,Crude Rate
Utah,2021-22,202207.0,All,All,"White, non-Hispanic",35.0,Crude Rate
Utah,2021-22,202205.0,All,All,"White, non-Hispanic",20.1,Crude Rate
Utah,2021-22,202111.0,All,All,"White, non-Hispanic",35.6,Crude Rate
Utah,2021-22,202204.0,All,All,"White, non-Hispanic",7.6,Crude Rate
Utah,2021-22,202206.0,All,All,"White, non-Hispanic",41.7,Crude Rate
Utah,2021-22,202203.0,All,All,"White, non-Hispanic",11.4,Crude Rate
Utah,2021-22,202208.0,All,All,"White, non-Hispanic",26.6,Crude Rate
Utah,2021-22,202202.0,All,All,"White, non-Hispanic",41.8,Crude Rate
Utah,2021-22,202110.0,All,All,"White, non-Hispanic",38.0,Crude Rate
Utah,2021-22,202201.0,All,All,"White, non-Hispanic",96.0,Crude Rate
Utah,2021-22,202209.0,All,All,"White, non-Hispanic",18.6,Crude Rate
Utah,2021-22,202112.0,All,All,"White, non-Hispanic",38.0,Crude Rate
Utah,2021-22,202111.0,All,Female,All,35.6,Crude Rate
Utah,2021-22,202208.0,All,Female,All,24.2,Crude Rate
Utah,2021-22,202203.0,All,Female,All,12.6,Crude Rate
Utah,2021-22,202205.0,All,Female,All,16.3,Crude Rate
