State,Date,Unemployment Percentage
CA,2015-01-01,6.8
CA,2015-02-01,6.7
CA,2015-03-01,6.6
CA,2015-04-01,6.5
CA,2015-05-01,6.4
CA,2015-06-01,6.3
CA,2015-07-01,6.2
CA,2015-08-01,6.0
CA,2015-09-01,5.9
CA,2015-10-01,5.8
CA,2015-11-01,5.8
CA,2015-12-01,5.7
CA,2016-01-01,5.7
CA,2016-02-01,5.6
CA,2016-03-01,5.6
CA,2016-04-01,5.5
CA,2016-05-01,5.5
CA,2016-06-01,5.5
CA,2016-07-01,5.5
CA,2016-08-01,5.5
CA,2016-09-01,5.5
CA,2016-10-01,5.5
CA,2016-11-01,5.4
CA,2016-12-01,5.4
CA,2017-01-01,5.2
CA,2017-02-01,5.1
CA,2017-03-01,5.0
CA,2017-04-01,5.0
CA,2017-05-01,4.9
CA,2017-06-01,4.9
CA,2017-07-01,4.8
CA,2017-08-01,4.8
CA,2017-09-01,4.7
CA,2017-10-01,4.6
CA,2017-11-01,4.5
CA,2017-12-01,4.5
CA,2018-01-01,4.4
CA,2018-02-01,4.3
CA,2018-03-01,4.3
CA,2018-04-01,4.2
CA,2018-05-01,4.2
CA,2018-06-01,4.2
CA,2018-07-01,4.2
CA,2018-08-01,4.2
CA,2018-09-01,4.2
CA,2018-10-01,4.3
CA,2018-11-01,4.3
CA,2018-12-01,4.3
CA,2019-01-01,4.3
CA,2019-02-01,4.3
CA,2019-03-01,4.2
CA,2019-04-01,4.1
CA,2019-05-01,4.0
CA,2019-06-01,4.0
CA,2019-07-01,4.0
CA,2019-08-01,4.0
CA,2019-09-01,4.0
CA,2019-10-01,4.0
CA,2019-11-01,4.1
CA,2019-12-01,4.2
CA,2020-01-01,4.3
CA,2020-02-01,4.4
CA,2020-03-01,5.5
CA,2020-04-01,16.1
CA,2020-05-01,15.8
CA,2020-06-01,13.8
CA,2020-07-01,13.2
CA,2020-08-01,11.9
CA,2020-09-01,10.0
CA,2020-10-01,9.3
CA,2020-11-01,9.0
CA,2020-12-01,9.0
CA,2021-01-01,8.7
CA,2021-02-01,8.6
CA,2021-03-01,8.4
CA,2021-04-01,8.3
CA,2021-05-01,7.9
