State,Date,Monthly COVID Rate
California,2020-03-01,8.6
California,2020-04-01,13.4
California,2020-05-01,10.3
California,2020-06-01,13.9
California,2020-07-01,31.8
California,2020-08-01,29.0
California,2020-09-01,17.8
California,2020-10-01,10.1
California,2020-11-01,26.3
California,2020-12-01,73.4
California,2021-01-01,76.2
California,2021-02-01,30.1
California,2021-03-01,15.9
California,2021-04-01,13.0
California,2021-05-01,9.5
California,2021-06-01,7.4
California,2021-07-01,27.9
California,2021-08-01,50.6
California,2021-09-01,25.2
California,2021-10-01,13.3
California,2021-11-01,8.9
California,2021-12-01,23.6
California,2022-01-01,114.5
California,2022-02-01,40.5
California,2022-03-01,11.8
California,2022-04-01,12.5
California,2022-05-01,32.7
California,2022-06-01,45.0
California,2022-07-01,53.8
California,2022-08-01,37.7
California,2022-09-01,23.3
California,2022-10-01,19.1
California,2022-11-01,30.8
California,2022-12-01,47.4
California,2023-01-01,30.8
California,2023-02-01,26.2
California,2023-03-01,25.3
California,2023-04-01,19.7
California,2023-05-01,15.9
California,2023-06-01,14.0
California,2023-07-01,18.1
California,2023-08-01,25.4
California,2023-09-01,24.8
California,2023-10-01,18.1
California,2023-11-01,22.2
California,2023-12-01,32.9
Colorado,2020-03-01,30.2
Colorado,2020-04-01,63.0
Colorado,2020-05-01,31.5
Colorado,2020-06-01,10.8
Colorado,2020-07-01,18.3
Colorado,2020-08-01,11.6
Colorado,2020-09-01,15.9
Colorado,2020-10-01,41.7
Colorado,2020-11-01,108.4
Colorado,2020-12-01,75.6
Colorado,2021-01-01,46.3
Colorado,2021-02-01,26.3
Colorado,2021-03-01,25.1
Colorado,2021-04-01,42.9
Colorado,2021-05-01,38.1
Colorado,2021-06-01,13.0
Colorado,2021-07-01,14.2
Colorado,2021-08-01,38.0
Colorado,2021-09-01,46.6
Colorado,2021-10-01,53.4
Colorado,2021-11-01,78.3
Colorado,2021-12-01,70.6
Colorado,2022-01-01,119.6
Colorado,2022-02-01,25.2
Colorado,2022-03-01,7.4
Colorado,2022-04-01,8.7
Colorado,2022-05-01,20.6
Colorado,2022-06-01,32.6
Colorado,2022-07-01,29.5
Colorado,2022-08-01,21.3
Colorado,2022-09-01,15.0
Colorado,2022-10-01,15.5
Colorado,2022-11-01,36.3
Colorado,2022-12-01,28.9
Colorado,2023-01-01,16.9
Colorado,2023-02-01,17.6
Colorado,2023-03-01,16.4
Colorado,2023-04-01,10.4
Colorado,2023-05-01,6.6
Colorado,2023-06-01,4.7
Colorado,2023-07-01,4.2
Colorado,2023-08-01,10.2
Colorado,2023-09-01,16.6
Colorado,2023-10-01,26.1
Colorado,2023-11-01,25.3
Colorado,2023-12-01,22.9
Connecticut,2020-03-01,38.7
Connecticut,2020-04-01,156.2
Connecticut,2020-05-01,72.7
Connecticut,2020-06-01,13.7
Connecticut,2020-07-01,10.2
Connecticut,2020-08-01,10.0
Connecticut,2020-09-01,10.6
Connecticut,2020-10-01,26.1
Connecticut,2020-11-01,113.8
Connecticut,2020-12-01,142.1
Connecticut,2021-01-01,110.0
Connecticut,2021-02-01,63.6
Connecticut,2021-03-01,73.9
