State,Season,_YearMonth,AgeCategory_Legend,Sex_Label,Race_Label,MonthlyRate,Type
Utah,2021-22,202205.0,All,All,All,17.2,Crude Rate
Utah,2021-22,202203.0,All,All,All,12.1,Crude Rate
Utah,2021-22,202202.0,All,All,All,40.4,Crude Rate
Utah,2021-22,202204.0,All,All,All,7.1,Crude Rate
Utah,2021-22,202201.0,All,All,All,104.2,Crude Rate
Utah,2021-22,202111.0,All,All,All,37.8,Crude Rate
Utah,2021-22,202207.0,All,All,All,34.5,Crude Rate
Utah,2021-22,202209.0,All,All,All,16.7,Crude Rate
Utah,2021-22,202110.0,All,All,All,39.8,Crude Rate
Utah,2021-22,202112.0,All,All,All,38.9,Crude Rate
Utah,2021-22,202206.0,All,All,All,36.0,Crude Rate
Utah,2021-22,202208.0,All,All,All,24.4,Crude Rate
Tennessee,2021-22,202205.0,All,All,All,15.9,Crude Rate
Tennessee,2021-22,202207.0,All,All,All,46.4,Crude Rate
Tennessee,2021-22,202208.0,All,All,All,41.9,Crude Rate
Tennessee,2021-22,202202.0,All,All,All,48.9,Crude Rate
Tennessee,2021-22,202112.0,All,All,All,54.7,Crude Rate
Tennessee,2021-22,202209.0,All,All,All,25.2,Crude Rate
Tennessee,2021-22,202110.0,All,All,All,31.1,Crude Rate
Tennessee,2021-22,202203.0,All,All,All,9.2,Crude Rate
Tennessee,2021-22,202204.0,All,All,All,5.1,Crude Rate
Tennessee,2021-22,202111.0,All,All,All,25.2,Crude Rate
Tennessee,2021-22,202201.0,All,All,All,133.0,Crude Rate
Tennessee,2021-22,202206.0,All,All,All,29.2,Crude Rate
Oregon,2021-22,202111.0,All,All,All,22.6,Crude Rate
Oregon,2021-22,202205.0,All,All,All,32.3,Crude Rate
Oregon,2021-22,202203.0,All,All,All,15.7,Crude Rate
Oregon,2021-22,202110.0,All,All,All,25.6,Crude Rate
Oregon,2021-22,202201.0,All,All,All,74.1,Crude Rate
Oregon,2021-22,202112.0,All,All,All,26.6,Crude Rate
Oregon,2021-22,202202.0,All,All,All,40.4,Crude Rate
Oregon,2021-22,202206.0,All,All,All,38.4,Crude Rate
Oregon,2021-22,202207.0,All,All,All,42.1,Crude Rate
Oregon,2021-22,202204.0,All,All,All,14.8,Crude Rate
Oregon,2021-22,202208.0,All,All,All,35.2,Crude Rate
Oregon,2021-22,202209.0,All,All,All,25.3,Crude Rate
Ohio,2021-22,202111.0,All,All,All,27.4,Crude Rate
Ohio,2021-22,202202.0,All,All,All,21.7,Crude Rate
Ohio,2021-22,202204.0,All,All,All,14.5,Crude Rate
Ohio,2021-22,202205.0,All,All,All,22.4,Crude Rate
Ohio,2021-22,202203.0,All,All,All,10.2,Crude Rate
Ohio,2021-22,202209.0,All,All,All,34.0,Crude Rate
Ohio,2021-22,202206.0,All,All,All,27.6,Crude Rate
Ohio,2021-22,202201.0,All,All,All,65.2,Crude Rate
Ohio,2021-22,202112.0,All,All,All,48.5,Crude Rate
Ohio,2021-22,202208.0,All,All,All,44.8,Crude Rate
Ohio,2021-22,202207.0,All,All,All,34.0,Crude Rate
Ohio,2021-22,202110.0,All,All,All,22.2,Crude Rate
New York,2021-22,202201.0,All,All,All,141.1,Crude Rate
New York,2021-22,202205.0,All,All,All,74.7,Crude Rate
New York,2021-22,202111.0,All,All,All,80.7,Crude Rate
New York,2021-22,202110.0,All,All,All,50.5,Crude Rate
New York,2021-22,202206.0,All,All,All,37.1,Crude Rate
New York,2021-22,202209.0,All,All,All,51.7,Crude Rate
New York,2021-22,202112.0,All,All,All,107.6,Crude Rate
New York,2021-22,202202.0,All,All,All,44.9,Crude Rate
New York,2021-22,202208.0,All,All,All,45.8,Crude Rate
New York,2021-22,202207.0,All,All,All,40.8,Crude Rate
New York,2021-22,202203.0,All,All,All,21.7,Crude Rate
New York,2021-22,202204.0,All,All,All,55.3,Crude Rate
New Mexico,2021-22,202203.0,All,All,All,20.5,Crude Rate
New Mexico,2021-22,202205.0,All,All,All,22.8,Crude Rate
New Mexico,2021-22,202110.0,All,All,All,60.8,Crude Rate
New Mexico,2021-22,202209.0,All,All,All,24.1,Crude Rate
New Mexico,2021-22,202202.0,All,All,All,56.7,Crude Rate
New Mexico,2021-22,202208.0,All,All,All,39.2,Crude Rate
New Mexico,2021-22,202111.0,All,All,All,103.2,Crude Rate
New Mexico,2021-22,202206.0,All,All,All,52.4,Crude Rate
New Mexico,2021-22,202112.0,All,All,All,92.4,Crude Rate
New Mexico,2021-22,202207.0,All,All,All,51.1,Crude Rate
New Mexico,2021-22,202204.0,All,All,All,10.5,Crude Rate
New Mexico,2021-22,202201.0,All,All,All,117.4,Crude Rate
Minnesota,2021-22,202206.0,All,All,All,37.4,Crude Rate
Minnesota,2021-22,202205.0,All,All,All,38.8,Crude Rate
Minnesota,2021-22,202110.0,All,All,All,39.5,Crude Rate
Minnesota,2021-22,202201.0,All,All,All,105.4,Crude Rate
Minnesota,2021-22,202111.0,All,All,All,73.8,Crude Rate
Minnesota,2021-22,202207.0,All,All,All,43.7,Crude Rate
Minnesota,2021-22,202202.0,All,All,All,35.3,Crude Rate
Minnesota,2021-22,202203.0,All,All,All,15.7,Crude Rate
Minnesota,2021-22,202112.0,All,All,All,81.3,Crude Rate
Minnesota,2021-22,202209.0,All,All,All,40.6,Crude Rate
Minnesota,2021-22,202208.0,All,All,All,46.2,Crude Rate
Minnesota,2021-22,202204.0,All,All,All,18.4,Crude Rate
Michigan,2021-22,202206.0,All,All,All,28.5,Crude Rate
Michigan,2021-22,202202.0,All,All,All,42.9,Crude Rate
Michigan,2021-22,202112.0,All,All,All,101.8,Crude Rate
Michigan,2021-22,202207.0,All,All,All,33.1,Crude Rate
Michigan,2021-22,202110.0,All,All,All,52.6,Crude Rate
Michigan,2021-22,202201.0,All,All,All,120.9,Crude Rate
Michigan,2021-22,202205.0,All,All,All,33.0,Crude Rate
Michigan,2021-22,202203.0,All,All,All,14.6,Crude Rate
